1,9,10444,2246
2,11,6073,2246
3,12,2896,15554
4,25,734,15554
5,67,10200,15554
6,11,1632,13842
7,6,1632,13842
8,10,16501,13842
9,6,12473,13842
10,11,890,13842
11,7,3925,16098
12,20,8742,8318
13,7,15738,8318
14,11,1094,4523
15,18,7284,4523
16,7,1664,1502
17,6,10102,1502
18,9,6902,1502
19,11,5321,1502
20,10,15062,1502
21,9,1002,1502
22,7,12703,1502
23,9,14256,1502
24,6,7926,3162
25,15,16315,3162
26,130,8861,3162
27,19,5232,3162
28,14,12860,3162
29,10,11693,3162
30,9,9270,3162
31,19,838,3162
32,7,10813,3162
33,10,5944,3162
34,106,886,3162
35,99,6921,3162
36,24,6536,3162
37,18,15797,3162
38,9,11151,3162
39,16,8827,10291
40,23,1934,3285
41,8,8016,3285
42,9,4547,3285
43,32,16057,3285
44,13,6536,6998
45,32,6921,6998
46,25,8861,6998
47,6,11693,6998
48,7,1409,16105
49,366,16425,16105
50,25,12399,16105
51,241,7474,16105
52,90,4434,16105
53,36,9181,16105
54,13,7555,16105
55,8,2837,16105
56,130,3299,16105
57,39,10083,16105
58,37,7662,16105
59,19,12596,16105
60,18,16233,16105
61,141,14170,16105
62,7,14222,16105
63,16,678,16105
64,216,1227,16105
65,58,14623,15812
66,11,5798,15812
67,32,12129,15812
68,6,13309,12802
69,13,1460,6672
70,9,2073,6672
71,6,11985,10717
72,47,3390,2018
73,38,2126,2018
74,6,8842,2018
75,6,10868,2018
76,40,14045,2018
77,6,16423,2018
78,20,6449,2018
79,10,9081,2018
80,12,10544,2018
81,35,6101,12695
82,6,13364,12695
83,75,12978,12695
84,23,16526,12695
85,53,1666,12695
86,13,4552,12695
87,74,964,12695
88,59,13684,12695
89,20,9390,12695
90,26,12088,12695
91,8,7890,12695
92,21,15953,12695
93,275,2168,4937
94,14,11084,4937
95,10,490,280
96,18,2958,280
97,26,9676,4519
98,7,1637,4519
99,8,14531,4519
100,13,2004,5366
101,16,15187,5366
102,7,6818,5366
103,7,14209,5366
104,7,11896,5366
105,21,8234,5366
106,21,4602,5366
107,55,12957,5366
108,11,11687,16414
109,13,523,16414
110,7,3118,16414
111,105,7292,15192
112,78,3480,15192
113,44,15827,15192
114,24,12546,15192
115,16,15187,15192
116,74,13544,15192
117,8,13948,15192
118,12,6836,15192
119,8,800,15192
120,56,12130,15192
121,12,9206,15192
122,25,134,15192
123,24,14358,15192
124,8,8234,16089
125,23,16404,16089
126,12,5993,14766
127,11,16187,14766
128,56,6042,11431
129,54,7712,11431
130,199,7593,11431
131,123,3322,11431
132,6,7445,14160
133,18,12698,10396
134,16,9258,4940
135,33,5966,4940
136,13,2673,4940
137,134,10532,1582
138,18,10532,1582
139,230,7778,1582
140,6,5042,1582
141,24,5042,1582
142,23,10627,13197
143,32,10673,1638
144,101,13954,1638
145,29,3077,16303
146,23,2242,5054
147,12,16004,5054
148,21,3981,10706
149,46,8253,10706
150,15,1339,10607
151,18,9258,10607
152,10,12841,2612
153,24,15967,2612
154,8,12662,2612
155,8,2117,2612
156,6,4332,2612
157,9,13763,2612
158,12,4260,2612
159,7,4368,6750
160,26,8621,6750
161,7,4649,6750
162,81,4390,6750
163,21,9581,6750
164,26,12036,6750
165,49,13955,6750
166,12,14093,11170
167,25,7109,11170
168,9,15993,8369
169,13,9875,8369
170,7,8717,8582
171,11,10677,8582
172,8,8324,8582
173,13,7028,14578
174,11,13910,14578
175,6,5490,14578
176,7,9278,14578
177,21,10829,15215
178,8,9606,15215
179,8,10762,13333
180,10,549,5894
181,13,12908,5894
182,15,6597,7344
183,18,6597,15313
184,8,11158,15313
185,32,1236,15313
186,6,6651,445
187,15,423,445
188,15,663,445
189,7,309,8958
190,8,12062,8958
191,6,1877,15925
192,6,13866,15925
193,6,9146,15925
194,10,4763,16446
195,12,10789,16446
196,27,15029,16446
197,16,7133,16446
198,28,2995,16446
199,10,3691,16446
200,10,7423,16446
201,31,12454,11025
202,6,14770,11025
203,7,2867,12633
204,9,15552,12633
205,55,12801,12633
206,7,5448,12633
207,23,3384,12633
208,19,6744,12633
209,24,3673,12633
210,27,569,12633
211,7,7433,6312
212,16,3767,6312
213,14,7580,12964
214,11,1210,9768
215,11,4076,9768
216,86,5295,456
217,7,6655,456
218,49,10102,1585
219,6,15077,1585
220,6,9145,1585
221,16,4502,3889
222,10,15569,3889
223,11,599,13625
224,20,15150,13625
225,12,7449,13625
226,17,8818,13625
227,6,10110,13625
228,16,9009,13625
229,294,9613,13625
230,7,16202,13625
231,6,9731,13625
232,6,5132,13625
233,345,2763,13625
234,69,2985,13625
235,7,5543,13625
236,54,10071,13625
237,12,11978,13625
238,332,15752,13625
239,15,3888,13625
240,113,10343,13625
241,19,5667,13625
242,12,6696,13625
243,61,12493,13625
244,50,1015,13625
245,10,11284,13625
246,13,7997,13625
247,94,6241,13625
248,8,9518,13625
249,40,8800,13625
250,18,7716,13625
251,10,12657,13625
252,10,7682,13625
253,6,336,13625
254,8,5114,13625
255,42,10672,13625
256,10,5728,13625
257,29,3224,4923
258,7,9562,4923
259,174,10673,4923
260,31,1122,1853
261,13,11039,206
262,7,488,16118
263,21,14839,16118
264,9,9482,9147
265,15,14599,9147
266,33,2413,9147
267,7,2413,9147
268,12,12368,9147
269,6,7858,3644
270,17,5037,3644
271,20,12293,3644
272,14,6231,4871
273,11,4077,4871
274,30,12171,10887
275,307,11020,10887
276,13,10888,10887
277,119,14991,10887
278,60,24,10887
279,149,15100,10887
280,233,2338,10887
281,9,15587,10953
282,33,4961,780
283,6,14655,780
284,50,14410,780
285,6,8820,780
286,6,14419,780
287,23,12445,780
288,24,4166,780
289,8,11794,780
290,13,15353,9004
291,20,7641,14696
292,12,7417,13236
293,43,7212,13236
294,14,2385,13236
295,9,15970,13236
296,9,8890,14138
297,122,7029,14138
298,37,4955,14138
299,6,3884,2986
300,7,6490,2986
301,173,9401,891
302,13,4943,891
303,24,15190,891
304,30,3343,891
305,9,2969,891
306,8,8836,891
307,21,14023,891
308,90,7814,891
309,136,1971,891
310,7,3148,891
311,41,893,6073
312,8,2101,6073
313,64,1511,6073
314,56,10444,6073
315,21,5271,6073
316,16,4513,6073
317,57,3343,6073
318,22,15190,6073
319,31,9401,6073
320,37,15058,6073
321,6,2257,6073
322,21,9072,6073
323,9,8968,1321
324,7,3000,899
325,12,11644,8555
326,7,10745,8555
327,17,4838,8555
328,78,4838,8555
329,37,14568,8555
330,7,932,8555
331,11,1068,8555
332,8,7537,3200
333,16,57,3200
334,12,11132,14509
335,11,8375,14509
336,42,7923,3364
337,7,15539,3364
338,80,9817,15216
339,24,9233,15216
340,14,13011,15216
341,97,12879,15216
342,156,14563,15216
343,6,3914,15216
344,31,2876,1766
345,15,9335,1766
346,12,6587,5198
347,6,10001,5198
348,15,11358,5198
349,19,6364,5198
350,26,12587,5198
351,6,12054,5198
352,16,13823,9945
353,292,8624,9945
354,45,9233,9817
355,45,12879,9817
356,7,1932,9817
357,36,15544,14991
358,10,13823,14991
359,6,8437,14991
360,20,1530,14991
361,44,14792,14991
362,7,3399,14991
363,37,10887,14991
364,27,10888,14991
365,177,11020,14991
366,58,5234,14991
367,72,617,14991
368,12,2283,14991
369,8,10834,14991
370,14,3233,6713
371,27,10570,6713
372,24,16126,6713
373,15,3327,6713
374,29,4613,6713
375,10,2761,5941
376,6,6418,5941
377,12,707,2575
378,7,5831,13371
379,14,12285,13371
380,684,12285,13371
381,19,2988,13371
382,22,1050,13371
383,143,5806,13371
384,14,16246,13767
385,15,7480,3107
386,6,980,14297
387,10,4325,14297
388,33,3014,14297
389,19,12555,14297
390,154,12559,9644
391,212,12230,9644
392,6,14682,1175
393,16,11923,1175
394,11,16247,1175
395,35,12631,15238
396,12,5798,662
397,23,1167,662
398,208,13084,2740
399,34,9537,2740
400,9,13689,14089
401,65,13775,14089
402,8,4387,14089
403,24,7547,153
404,26,9209,153
405,7,16459,153
406,9,9950,8947
407,9,13176,8947
408,21,10876,8947
409,9,15739,4293
410,10,4058,3617
411,6,14837,3617
412,6,3393,3617
413,6,7,8083
414,11,7531,6015
415,15,16427,6015
416,17,12183,6015
417,6,2213,6727
418,10,3530,6727
419,13,12557,6727
420,15,14968,7761
421,37,12913,7761
422,10,14797,7761
423,6,10884,7761
424,23,4032,9831
425,8,2481,9831
426,20,3258,9831
427,44,3353,9831
