cluster_id,cluster_id,total_weight
131,131,334
132,132,559
133,133,3655
134,134,2201
135,135,1987
136,136,2944
137,137,1413
138,138,2929
139,139,1536
140,140,4108
141,141,1022
142,142,3457
143,143,3960
144,144,581
145,145,2717
146,146,1662
147,147,223
148,148,1039
149,149,4750
150,150,1654
151,151,745
152,152,1030
153,153,4023
154,154,348
155,155,337
156,156,8333
157,157,1197
158,158,1187
159,159,508
160,160,265
161,161,9019
162,162,568
163,163,542
164,164,315
165,165,251
166,166,453
167,167,638
168,168,970
